Page Id	URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
page-1636	List_of_Grateful_Dead_cover_versions	List of Grateful Dead cover versions	works	first paragraph	0	10050			other			
page-1371	Jazz_royalty	Jazz royalty	musicians	titles	23	9806			other			
page-1622	List_of_cool_jazz_and_West_Coast_jazz_musicians	List of cool jazz and West Coast jazz musicians	musicians	list	11	9777			other			
page-1741	Local_on_the_8s	Local on the 8s	other	music	32	9253			other			
page-1632	List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	other	alphabetical listing by title	2	9211			other			
page-1632	List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	other	alphabetical listing by title	2	9211			other			
page-1658	List_of_NME_covers	List of NME covers	works	1985	43	8972			other			
page-1675	List_of_rock_albums	List of rock albums	works	d	9	8972			other			
page-1360	Jazz_guitarist	Jazz guitarist	musicians	1970s and 1980s	30	8960			other			
page-1360	Jazz_guitarist	Jazz guitarist	musicians	1970s and 1980s	30	8960			other			
page-617	Concord_Bicycle_Music	Concord Bicycle Music	musicians	first paragraph	0	8917			other			
page-2273	Prestige_Records	Prestige Records	musicians	history	8	8862			other			
page-2273	Prestige_Records	Prestige Records	musicians	history	8	8862			other			
page-1657	List_of_nicknames_of_jazz_musicians	List of nicknames of jazz musicians	musicians	list of jazz nicknames	30	8597			other			
page-1657	List_of_nicknames_of_jazz_musicians	List of nicknames of jazz musicians	musicians	list of jazz nicknames	36	8597			other			
page-1991	Musical_quotation	Musical quotation	genres	examples	12	8594			other			
page-1991	Musical_quotation	Musical quotation	genres	sources	15	8594			other			
page-1693	List_of_tribute_albums	List of tribute albums	works	d	11	8410			other			
page-1651	List_of_minor_planets_named_after_people	List of minor planets named after people	other	entertainment	91	8393			other			
page-1661	List_of_people_from_East_St._Louis,_Illinois	List of people from East St. Louis, Illinois	people	media and arts	8	8288			other			
page-1609	List_of_2007_albums	List of 2007 albums	works	october	24	7778			other			
page-1609	List_of_2007_albums	List of 2007 albums	works	october	24	7778			other			
page-1302	ITunes_LP	ITunes LP	events	itunes lp list	19	7423			other			
page-1374	Jazz_violin	Jazz violin	genres	history	16	7399			other			
page-1614	List_of_bebop_musicians	List of bebop musicians	musicians	d	10	7351			other			
page-2632	Sunday_Night_(American_TV_program)	Sunday Night (American TV program)	works	episodes	15	7310			other			
page-2632	Sunday_Night_(American_TV_program)	Sunday Night (American TV program)	works	episodes	15	7310			other			
page-2519	So_What_chord	So What chord	genres	first paragraph	0	7260			other			
